filename,nwords,MLS,C_S,DC_C,T_S,CT_T,CP_T,CP_C,CN_C
0.txt,0.5888650963597432,0.03643016226534544,0.07459677419354839,0.4216216216213686,0.1,0.458333333333,0.07638888888883333,0.297297297297,0.19284149013895946
10.txt,0.11134903640256959,0.07795100222716562,0.15053763440870968,0.34285714285693714,0.15555555555533335,0.428571428571,0.11904761904766666,0.357142857143,0.1911196911198616
100.txt,0.3147751605995717,0.02545338848243096,0.06451612903225806,0.45000000000018003,0.077777777778,0.5,0.15476190476183332,0.541666666667,0.26013513513547865
101.txt,0.2676659528907923,0.050543157129297175,0.07834101382483871,0.7058823529418824,0.06666666666666667,0.857142857143,0.11904761904766666,0.294117647059,0.41971383147922653
102.txt,0.2633832976445396,0.028125994272981413,0.06129032258064516,0.6315789473690527,0.06666666666666667,0.7,0.03333333333333333,0.105263157895,0.5398293029884538
103.txt,0.33190578158458245,0.03728921412662449,0.08709677419354839,0.5333333333330134,0.09333333333333332,0.5,0.0714285714285,0.222222222222,0.3138138138145397
104.txt,0.37687366167023556,0.024567065133274103,0.05069124423967742,0.3272727272725309,0.07142857142866667,0.266666666667,0.022222222222166663,0.0909090909091,0.6283783783791618
105.txt,0.48608137044967886,0.007423904974094862,0.0442054958183871,0.3567567567565427,0.06172839506173333,0.24,0.019999999999999997,0.0810810810811,0.32542001460994
106.txt,0.5010706638115633,0.03643016226534544,0.06682027649774193,0.4137931034485655,0.07619047619066667,0.5,0.05208333333333333,0.172413793103,0.5997204100677563
107.txt,0.5096359743040686,0.03724830689509409,0.06912442396322581,0.48000000000019205,0.085714285714,0.611111111111,0.037037037036999995,0.133333333333,0.6689189189201845
108.txt,0.2676659528907923,0.024065021837792074,0.07331378299129032,0.5280000000002112,0.078787878788,0.769230769231,0.025641025641,0.08,0.35675675675743174
109.txt,0.26552462526766596,0.03404390709522134,0.09318996415774193,0.692307692307877,0.074074074074,0.8,0.03333333333333333,0.0769230769231,0.2572765072769598
11.txt,0.11777301927194862,0.029271396754686794,0.06989247311838709,0.4615384615381846,0.077777777778,0.285714285714,0.0714285714285,0.230769230769,0.3773388773396599
110.txt,0.5010706638115633,0.029092427616920328,0.07258064516129031,0.46666666666698664,0.0875,0.380952380952,0.047619047618999995,0.166666666667,0.3096846846850724
111.txt,0.32119914346895073,0.042316258352014274,0.10394265232967742,0.49655172413779863,0.074074074074,0.6,0.08333333333333333,0.172413793103,0.3536812674751016
112.txt,0.550321199143469,0.01807769068344905,0.06304985337258065,0.5860465116278344,0.06969696969666667,0.652173913043,0.0434782608695,0.139534883721,0.37335009428121985
113.txt,0.09421841541755889,0.2554883868915002,0.5806451612903225,0.46666666666698664,0.6,0.333333333333,0.037037037036999995,0.111111111111,0.2972972972980084
114.txt,0.23768736616702357,0.04481614472077025,0.08755760368677419,0.44210526315857684,0.095238095238,0.6,0.08333333333333333,0.263157894737,0.3990042674259576
115.txt,0.2505353319057816,0.021982471870976916,0.0703812316716129,0.5499999999998201,0.06666666666666667,0.909090909091,0.0757575757575,0.208333333333,0.44594594594678966
116.txt,0.2826552462526767,0.015567474205752569,0.05529953917064516,0.39999999999976005,0.07619047619066667,0.375,0.07291666666666666,0.291666666667,0.35304054054135714
117.txt,0.32119914346895073,0.09398663697104101,0.14838709677419354,0.6782608695650713,0.06666666666666667,1.0,0.09999999999999999,0.130434782609,0.5428907168057568
118.txt,0.32548179871520344,0.02664651606734984,0.04569892473129032,0.4941176470585976,0.07222222222199999,0.384615384615,0.08974358974366665,0.411764705882,0.5771065182846054
119.txt,0.15417558886509636,0.1566974228444108,0.1935483870967742,0.5000000000006,0.1,1.0,0.27777777777833335,0.416666666667,0.594594594594233
12.txt,0.25481798715203424,0.003650551769179153,0.050933786078064515,0.39999999999976005,0.06315789473686667,0.277777777778,0.0,0.0,0.26756756756807376
120.txt,0.43683083511777304,0.0343376000390648,0.07692307692322581,0.5806451612906323,0.07179487179466666,0.571428571429,0.13095238095233333,0.354838709677,0.4171752397567893
121.txt,0.689507494646681,0.03424485489903935,0.06960950764,0.5853658536590342,0.06666666666666667,0.631578947368,0.061403508771999994,0.170731707317,0.3263019116683065
122.txt,0.3147751605995717,0.2640789055042906,0.3225806451612903,0.60000000000024,0.26666666666666666,0.75,0.0625,0.15,0.6912162162175239
123.txt,0.4068522483940043,0.021217785555195805,0.06653225806451613,0.43636363636337455,0.07916666666666666,0.473684210526,0.03508771929816666,0.121212121212,0.2567567567574317
